,samplingperiod,partishun,prop,z_pheno_mod
128,13,PS.I,0.024600246,-0.337265382
129,13,UGM.I,0.028915663,-0.252737757
130,13,UGM.II,0.033240997,-0.168015866
131,14,AB.I,0.015015015,-0.525014765
132,14,AB.II,0.020942408,-0.40891277
133,14,FS.I,0.021032505,-0.407148019
134,14,LG.I,0.014440433,-0.536269306
135,14,LG.II,0.017326733,-0.479734316
136,14,LS.I,0.033980583,-0.153529342
137,14,LS.II,0.013513514,-0.554425218
138,14,PS.I,0.022298456,-0.38235137
139,14,UGM.I,0.023668639,-0.355513104
140,14,UGM.II,0.016722408,-0.491571441
141,15,AB.I,0.027108434,-0.288136603
142,15,AB.II,0.024886878,-0.331651021
143,15,FS.I,0.041266795,-0.010811672
144,15,LG.I,0.029288703,-0.245430882
145,15,LG.II,0.022277228,-0.382767181
146,15,LS.I,0.031784841,-0.196538123
147,15,LS.II,0.020942408,-0.40891277
148,15,PS.I,0.029411765,-0.243020427
149,15,UGM.I,0.04589372,0.079817583
150,15,UGM.II,0.020044543,-0.426499575
151,16,AB.I,0.027190332,-0.286532426
152,16,AB.II,0.011904762,-0.585936417
153,16,FS.I,0.043524416,0.033409176
154,16,LG.I,0.029350105,-0.244228181
155,16,LG.II,0.032128514,-0.189806476
156,16,LS.I,0.057823129,0.313483236
157,16,LS.II,0.029569892,-0.239923121
158,16,PS.I,0.045387994,0.069911752
159,16,UGM.I,0.029411765,-0.243020427
160,16,UGM.II,0.027027027,-0.289731146
161,17,AB.I,0.042296073,0.009349165
162,17,AB.II,0.029585799,-0.239611558
163,17,FS.I,0.029955947,-0.232361329
164,17,LG.I,0.018867925,-0.449546434
165,17,LG.II,0.021008403,-0.407620102
166,17,LS.I,0.02480916,-0.333173302
167,17,LS.II,0.024714829,-0.335021006
168,17,PS.I,0.035616438,-0.121487242
169,17,UGM.I,0.039292731,-0.049478373
170,17,UGM.II,0.026819923,-0.29378776
171,18,AB.I,0.106060606,1.258328124
172,18,AB.II,0.02970297,-0.237316478
173,18,FS.I,0.034582133,-0.141746564
174,18,LG.I,0.016806723,-0.489919939
175,18,LG.II,0.03526971,-0.128278745
176,18,LS.I,0.058823529,0.333078435
177,18,LS.II,0.028824834,-0.254516857
178,18,PS.I,0.050991501,0.179669673
179,18,UGM.I,0.027504912,-0.280370648
180,18,UGM.II,0.026622296,-0.297658755
181,19,AB.I,0.060790274,0.371601764
182,19,AB.II,0.033730159,-0.158434483
183,19,FS.I,0.040501446,-0.025802823
184,19,LG.I,0.018947368,-0.447990338
185,19,LG.II,0.02173913,-0.393307087
186,19,LS.I,0.031941032,-0.193478756
187,19,LS.II,0.026726058,-0.295626336
188,19,PS.I,0.04595186,0.080956395
189,19,UGM.I,0.033464567,-0.163636725
190,19,UGM.II,0.040540541,-0.025037074
191,20,AB.I,0.066666667,0.486704799
192,20,AB.II,0.036906854,-0.096211402
193,20,FS.I,0.053134963,0.221654426
194,20,LG.I,0.033613445,-0.160720589
195,20,LG.II,0.015384615,-0.517775269
196,20,LS.I,0.017123288,-0.483719267
197,20,LS.II,0.018817204,-0.45053991
198,20,PS.I,0.049142857,0.14345961
199,20,UGM.I,0.031496063,-0.202194523
200,20,UGM.II,0.035264484,-0.128381107
201,21,AB.I,0.018292683,-0.460813899
202,21,AB.II,0.037698413,-0.080706859
203,21,FS.I,0.021215043,-0.403572569
204,21,LG.I,0.021141649,-0.405010171
205,21,LG.II,0.032549729,-0.181555991
206,21,LS.I,0.007662835,-0.669024567
