Family,Genus,Species,Species (on mammal trait data),ActivityCycle,ActivityCycle_Ref,AdultBodyMass_g,AdultBodyMass_g_Ref,Terrestriality,Terrestriality_Ref,TrophicLevel,TrophicLevel_Ref,Diet,Diet_Ref
Mustelidae,Martes,Martes flavigula,Martes flavigula,3,Pantheria,2504.64,Pantheria,1,Pantheria,3,Pantheria,C,Di Marco & Santini 2015
Manidae,Manis,Manis javanica,Manis javanica,1,Phillipps & Phillipps 2016,4861.71,Pantheria,2,Phillipps & Phillipps 2016,3,Pantheria,C,Di Marco & Santini 2015
Cercopithecidae,Macaca,Macaca nemestrina,Macaca nemestrina,3,Pantheria,7820.78,Pantheria,2,Payne et al. 1994,1,Pantheria,O,Di Marco & Santini 2015
Cercopithecidae,Macaca,Macaca fascicularis,Macaca fascicularis,3,Pantheria,4569.32,Pantheria,2,Payne et al. 1994,2,Pantheria,H,Di Marco & Santini 2015
Sciuridae,Lariscus,Lariscus insignis,Lariscus insignis,3,Payne et al. 1994,174.41,Pantheria,1,Payne et al. 1994,1,Pantheria,O,Di Marco & Santini 2015
Hystricidae,Hystrix,Hystrix brachyura,Hystrix brachyura,1,Pantheria,8000,Pantheria,1,Pantheria,2,Pantheria,H,Di Marco & Santini 2015
Hominidae,Homo,Homo sapiens,Homo sapiens,3,Pantheria,58540.63,Pantheria,NA,Pantheria,NA,Pantheria,NA,Di Marco & Santini 2015
Herpestidae,Herpestes,Herpestes sp.,Herpestes sp.,,,,,,,,,,
Viverridae,Hemigalus,Hemigalus derbyanus,Hemigalus derbyanus,1,Pantheria,1262.7,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Ursidae,Helarctos,Helarctos malayanus,Helarctos malayanus,1,Pantheria,57075.78,Pantheria,1,Pantheria,1,Pantheria,O,Di Marco & Santini 2015
Sciuridae,Exilisciurus,Exilisciurus exilis,Exilisciurus exilis,3,Payne et al. 1994,21.75,Pantheria,2,Payne et al. 1994,2,Payne et al. 1994,O,Di Marco & Santini 2015
Erinaceidae,Echinosorex,Echinosorex gymnurus,Echinosorex gymnura,2,Pantheria,756.53,Pantheria,1,Pantheria,2,Pantheria,C,Phillipps & Phillipps 2016
Sciuridae,Dremomys,Dremomys everetti,Dremomys everetti,3,Phillipps & Phillipps 2016,129.78,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Viverridae,Hemigalus,Hemigalus hosei,Diplogale hosei,1,Pantheria,2500,Phillipps & Phillipps 2016,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Viverridae,Cynogale,Cynogale bennettii,Cynogale bennettii,2,Pantheria,4246.57,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Confused Squirrel or Treeshrew,Confused,Confused Squirrel or Treeshrew,Confused Squirrel or Treeshrew,,,,,,,,,,
Felidae,Catopuma,Catopuma badia,Catopuma badia,2,Phillipps & Phillipps 2016,3429.52,Pantheria,1,Pantheria,3,Phillipps & Phillipps 2016,O,Di Marco & Santini 2015
Canidae,Canis,Canis familiaris,Canis familiaris,,,,,,,,,,
Sciuridae,Callosciurus,Callosciurus nonatus,Callosciurus notatus,3,Pantheria,209.49,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Viverridae,Arctogalidia,Arctogalidia trivirgata,Arctogalidia trivirgata,1,Pantheria,2323.79,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Viverridae,Arctictis,Arctictis binturong,Arctictis binturong,1,Pantheria,12999.99,Pantheria,1,Pantheria,1,Pantheria,H,Di Marco & Santini 2015
Mustelidae,Aonyx,Aonyx cinerea,Aonyx cinerea,1,Pantheria,3527.59,Pantheria,1,Pantheria,3,Pantheria,C,Di Marco & Santini 2015
